"ISP","Area","Redispatching Costs (value)","Redispatching Costs (currency)","Countertrading Costs (value)","Countertrading Costs (currency)","Other Costs (value)","Other Costs (currency)","Total Costs (value)","Total Costs (currency)"
"01/01/2021 - 01/02/2021","CTA|FR","0.00","EUR","1417219.00","EUR","0.00","EUR","1417219.00","EUR"
"01/02/2021 - 01/03/2021","CTA|FR","0.00","EUR","4049322.00","EUR","0.00","EUR","4049322.00","EUR"
"01/03/2021 - 01/04/2021","CTA|FR","0.00","EUR","799419.00","EUR","0.00","EUR","799419.00","EUR"
"01/04/2021 - 01/05/2021","CTA|FR","0.00","EUR","1064536.00","EUR","0.00","EUR","1064536.00","EUR"
"01/05/2021 - 01/06/2021","CTA|FR","0.00","EUR","1581619.00","EUR","0.00","EUR","1581619.00","EUR"
"01/06/2021 - 01/07/2021","CTA|FR","0.00","EUR","1693178.00","EUR","0.00","EUR","1693178.00","EUR"
"01/07/2021 - 01/08/2021","CTA|FR","0.00","EUR","2582501.00","EUR","0.00","EUR","2582501.00","EUR"
"01/08/2021 - 01/09/2021","CTA|FR","0.00","EUR","3345771.00","EUR","0.00","EUR","3345771.00","EUR"
"01/09/2021 - 01/10/2021","CTA|FR","0.00","EUR","2560729.00","EUR","0.00","EUR","2560729.00","EUR"
"01/10/2021 - 01/11/2021","CTA|FR","0.00","EUR","4581458.00","EUR","0.00","EUR","4581458.00","EUR"
"01/11/2021 - 01/12/2021","CTA|FR","0.00","EUR","1844330.00","EUR","0.00","EUR","1844330.00","EUR"
"01/12/2021 - 01/01/2022","CTA|FR","0.00","EUR","6446858.00","EUR","0.00","EUR","6446858.00","EUR"
